国名,2019名目DGP,2019実質GDP,2019一人当たりGDP,2019GDP成長率,2019一人当たりDGP成長率,2019消費者物価上昇率,2019総貯蓄,2019GDPデフレーター,2020名目DGP,2020実質GDP,2020一人当たりGDP,2020GDP成長率,2020一人当たりDGP成長率,2020消費者物価上昇率,2020総貯蓄,2020GDPデフレーター
China,1.43E+13,1.43E+13,10143.8382,5.950500754,5.575316863,2.899234164,43.77302811,1.286700408,1.47E+13,1.46E+13,10408.66976,2.239701857,1.996619014,2.419421895,44.01639898,0.491448371
Cote d'Ivoire,58539424930,59861589343,2276.332394,6.231709513,3.557682501,-1.10686344,17.55413939,0.200492127,61348579465,61033878289,2325.723705,1.958332479,-0.599377217,2.425006568,19.01883602,0.974545188
Cameroon,39670977333,37502066705,1533.095688,3.475059979,0.835333751,2.452802141,14.39895778,1.169771822,40804449726,37686544900,1537.130218,0.491914742,-2.042454665,2.437608822,13.39959358,0.549999976
Colombia,3.23E+11,3.21E+11,6418.615783,3.186855392,1.796283366,3.525492736,16.17823056,4.002620543,2.70E+11,2.99E+11,5312.198556,-7.048151208,-8.040898507,2.524620535,14.66365644,1.356488304
Cabo Verde,1981845741,1915123783,3603.775241,5.66775246,4.481830156,1.106666743,35.28652631,0.562980597,1703698677,1632003278,3064.272388,-14.78340501,-15.71099847,0.605795808,33.76022504,-0.862089799
Costa Rica,64417670083,64382490583,12762.13801,2.417511818,1.441173774,2.096046353,13.86597745,2.566792117,62158002233,61774415011,12201.92603,-4.050908171,-4.927747219,0.724911478,13.95216522,0.156109997
Cyprus,25758357775,24880804888,29206.07617,5.283187396,3.864532641,0.250370997,14.62946079,1.12289749,24692095945,23640672757,27681.56641,-4.984292657,-6.516627349,-0.638422798,8.787765861,-1.121198133
Czech Republic,2.52E+11,2.16E+11,23660.14881,3.029478257,2.624557435,2.847875959,26.95877966,3.889772042,2.45E+11,2.03E+11,22933.49959,-5.797813877,-6.026656549,3.161295285,29.02281842,4.395392657
Germany,3.89E+12,3.60E+12,46794.89929,1.055508247,0.827864779,1.445667015,29.5968963,2.055056553,3.85E+12,3.44E+12,46252.6893,-4.569616717,-4.647544976,0.50668989,28.08515281,1.596822656
Djibouti,3088853639,3028730597,3172.750685,5.5451306,3.958631359,3.319253727,20.53967464,0.449797431,3181071154,3065136606,3219.701128,1.202022033,-0.277593604,1.777407838,12.3670778,1.762288068
Denmark,3.48E+11,3.35E+11,59775.7351,2.114664208,1.749614095,0.758131573,30.77358852,0.742103117,3.56E+11,3.28E+11,61063.31643,-2.062124959,-2.347336032,0.420711974,31.06432387,2.612958681
Dominican Republic,88941299734,89287391493,8282.117131,5.05216802,3.958404175,1.81060377,24.31154331,2.525618656,78844702329,83287065055,7268.19691,-6.720239373,-7.657060908,3.781031799,22.84804183,4.72350402
Algeria,1.72E+11,1.77E+11,3989.668276,1,-0.934555885,1.951768211,39.07355916,-0.46802491,1.45E+11,1.68E+11,3306.858208,-5.1,-6.826963623,2.415130941,31.22048659,-5.508487674
East Asia & Pacific (excluding high income),1.72E+13,1.71E+13,8177.838,5.779899675,5.175263936,1.857838416,41.59863899,1.43248276,1.75E+13,1.73E+13,8270.455138,1.293695375,0.800817654,2.393162393,41.43800683,1.614916538
Early-demographic dividend,1.16E+13,1.18E+13,3538.833413,2.375170414,1.072182439,2.759808735,26.10547924,3.061879455,1.08E+13,1.12E+13,3253.713456,-4.383128794,-5.582966499,3.086792948,25.0344525,3.407108154
East Asia & Pacific,2.70E+13,2.63E+13,11494.09153,3.980893383,3.421764234,1.627243671,36.60832952,1.51548563,2.71E+13,2.63E+13,11483.59931,-0.176174551,-0.615359741,0.846905537,36.49033046,1.303808317
Europe & Central Asia (excluding high income),3.25E+12,3.25E+12,8136.751834,2.265647914,1.758655618,2.675992026,25.88776613,3.803721149,2.98E+12,3.21E+12,7435.160748,-1.249376193,-1.621300279,2.732492094,25.72182611,2.449981748
Europe & Central Asia,2.29E+13,2.24E+13,24914.60337,1.821607026,1.514579269,1.763735865,24.66140938,2.127330238,2.21E+13,2.11E+13,23981.02201,-5.5414553,-5.763374578,1.199983969,23.77954383,1.70855084
Ecuador,1.08E+11,1.02E+11,6222.524653,0.012105103,-1.653249634,0.266012515,25.52375001,0.495450028,99291124000,93781977160,5627.77228,-7.787607091,-9.195656221,-0.338872393,24.55738384,-0.399099296
"Egypt, Arab Rep.",3.03E+11,3.98E+11,3019.092283,5.557683888,3.492046874,9.152799593,15.18327142,13.62256757,3.65E+11,4.12E+11,3569.206841,3.569669475,1.599848592,5.04493289,11.12268806,6.221218398
Euro area,1.34E+13,1.26E+13,39195.77483,1.577736254,1.487465371,1.445667015,25.53836294,1.794827211,1.30E+13,1.18E+13,38012.66729,-6.399955289,-6.51603099,0.290554556,24.28029564,1.459281574
Spain,1.39E+12,1.32E+12,29554.49052,2.085191421,1.355133045,0.699518994,22.99283222,1.304657166,1.28E+12,1.18E+12,27056.42175,-10.82288649,-11.2532668,-0.322753017,21.51214322,1.103930714
Estonia,31045591753,27079035673,23397.87826,4.096342644,3.713646751,2.277259312,28.98841078,3.188931533,30650285472,26279914561,23054.35849,-2.951069313,-3.14261532,-0.444531098,28.23314097,-0.294903106
Ethiopia,95912590628,89640020508,855.7608852,8.364085699,5.604369736,15.80963217,29.03045172,12.86039682,1.08E+11,95071785238,936.4507576,6.059530886,3.39811006,20.35634686,27.12910708,18.25459029
European Union,1.57E+13,1.48E+13,35089.28279,1.827815671,1.763444784,1.630522608,25.60531429,2.199603922,1.53E+13,1.39E+13,34191.82825,-5.955793069,-6.014992565,0.497367319,24.55109705,1.596822656
Fragile and conflict affected situations,1.69E+12,1.78E+12,1859.084787,2.228895356,-0.049256913,2.302372515,24.0889632,3.352751711,1.56E+12,1.71E+12,1679.0311,-4.307765403,-6.495798757,2.930871841,22.92412918,2.220901833
Finland,2.69E+11,2.55E+11,48628.64176,1.220754143,1.109278713,1.02409393,23.76236708,1.495412396,2.72E+11,2.49E+11,49160.83715,-2.299256085,-2.439493859,0.290554556,25.15105603,1.56091815
Fiji,5496264766,5223164681,6175.890653,-0.445563314,-1.168767783,1.773101825,16.41062057,2.375151595,4574413823,4431812577,5102.843929,-15.15081665,-15.76500599,-2.595243259,20.96280052,-1.529651649
France,2.73E+12,2.62E+12,40578.64429,1.842971814,1.620358453,1.108254923,23.65845933,1.278592146,2.63E+12,2.41E+12,39037.12263,-7.855256037,-8.034379209,0.476498853,21.4730822,2.524649139
United Kingdom,2.88E+12,3.19E+12,43070.49836,1.671944197,1.099995912,1.738104601,15.1938785,2.015103187,2.76E+12,2.90E+12,41098.07865,-9.270410835,-9.601340319,0.989486704,14.3297246,5.090975534
Georgia,17470436259,17757903230,4696.150586,4.982350475,5.162618817,4.852898217,19.75587901,5.192391453,15842922533,16557390869,4255.742993,-6.760439817,-6.824432632,5.20246489,11.32435591,7.28127821
Ghana,68337537816,62465709576,2246.625578,6.507774794,4.229181264,7.143640033,18.60781572,8.481072981,70043199814,62786746874,2254.153889,0.513941648,-1.605116474,9.887289563,28.37379876,9.365573701
Guinea,13442861444,12075308020,1052.588091,5.616914469,2.664940943,9.470779373,7.918082882,9.402907663,14169626010,12635273566,1078.950006,4.637277536,1.756611403,10.60186,16.06989412,4.916467657
"Gambia, The",1813608280,1677527608,772.5055883,6.22205316,3.16329441,7.115676256,17.9536158,6.252206399,1830413000,1674141973,757.4131116,-0.201822911,-3.04991461,5.931276366,14.12976078,4.038007113
Greece,2.05E+11,2.04E+11,19133.75776,1.803595256,1.910891048,0.253007522,10.28810039,0.248490586,1.89E+11,1.85E+11,17647.23269,-9.019129085,-8.840356712,-1.247983556,7.311520342,-0.837548131
Guatemala,77020015201,70634110392,4638.634943,3.866856575,2.258711898,3.69998398,16.67184174,3.680606437,77604632621,69560945138,4603.339643,-1.519330035,-3.004905372,3.214440622,18.30729203,2.645190773
High income,5.53E+13,5.24E+13,44774.77502,1.779924663,1.368345087,1.570831757,23.53794424,1.80002116,5.37E+13,5.00E+13,43282.42346,-4.496496728,-4.947153798,0.537288023,22.81502821,1.225815764
"Hong Kong SAR, China",3.63E+11,3.32E+11,48356.0635,-1.678266622,-2.402462716,2.883208538,24.03687471,2.044593605,3.45E+11,3.10E+11,46100.97587,-6.496562376,-6.160344962,0.250962021,25.93311495,0.574731224
Honduras,25089976947,24360344498,2574.356751,2.653066255,0.98266168,4.365871598,20.11118108,4.126697133,23827840810,22176498034,2405.732848,-8.964760184,-10.42150115,3.46841178,21.55769281,4.634186675
Heavily indebted poor countries (HIPC),7.98E+11,8.22E+11,994.8982809,4.140263215,1.350890074,2.685373553,23.17326294,3.000011819,8.03E+11,8.24E+11,975.4742618,0.205715669,-2.443626932,3.46841178,24.00350881,3.521883435
Croatia,62246206341,57190160217,15311.7669,3.481945603,4.056979224,0.771820346,25.76901526,1.919309384,57203783203,52557893779,14132.48656,-8.099761252,-7.700776427,0.154811375,23.86869147,-0.129291632
Haiti,14785839383,15474153940,1312.770636,-1.684595081,-2.90574712,18.70378257,16.63575298,17.55061276,14508218017,14956795315,1272.367992,-3.343372612,-4.525491823,22.79631136,19.08111937,20.5805876
Hungary,1.64E+11,1.47E+11,16735.65978,4.554063072,4.601390464,3.338586354,27.63335048,4.765536616,1.57E+11,1.40E+11,16075.97327,-4.46322087,-4.257530879,3.326743858,26.10659496,6.314024973
IBRD only,3.12E+13,3.10E+13,6473.782551,3.997212439,3.158646951,2.598016203,31.89907516,2.525618656,3.00E+13,3.06E+13,6176.40377,-1.450654352,-2.184071648,2.472021215,31.70452772,2.113231301
IDA & IBRD total,3.36E+13,3.34E+13,5168.837517,4.00123926,2.783904746,2.610571828,31.3327142,2.961396246,3.24E+13,3.30E+13,4925.381242,-1.362644896,-2.474968855,2.940295143,31.31436508,2.645190773
IDA total,2.34E+12,2.38E+12,1399.11567,4.053164369,1.740590094,2.68068279,23.3469001,3.49282158,2.33E+12,2.38E+12,1365.047843,-0.221758876,-2.435848541,3.46841178,25.5896322,3.21740233
IDA blend,1.04E+12,1.12E+12,1852.219116,2.741331517,0.464640683,1.989587441,19.61145342,3.327588753,9.99E+11,1.11E+12,1740.603808,-1.397125525,-3.558782298,1.795371471,23.63905214,0.549999976
Indonesia,1.12E+12,1.05E+12,4135.233344,5.01928768,3.87255979,3.03058665,30.90271351,1.5984885,1.06E+12,1.03E+12,3870.55762,-2.065004941,-3.102651719,1.920968006,29.38719241,-0.436578123
IDA only,1.30E+12,1.26E+12,1169.69953,5.252192169,2.909479777,2.744170618,27.55857307,3.658054407,1.33E+12,1.27E+12,1175.586605,0.841579885,-1.409744969,3.738118083,27.99558347,3.338349379
India,2.83E+12,2.69E+12,2072.244897,3.73791852,2.692089827,3.729505735,29.6977505,2.390748792,2.67E+12,2.51E+12,1933.101069,-6.596080522,-7.515674992,6.623436776,28.53850805,5.600919236
Ireland,3.99E+11,3.71E+11,80886.61574,4.917006978,3.491900991,0.939044481,35.39030271,4.2247889,4.26E+11,3.93E+11,85422.54287,5.866975509,4.776937267,-0.334584625,37.38271492,-1.212120401
Iraq,2.34E+11,2.02E+11,5943.458455,5.513790575,3.161969237,-0.19896538,37.35014758,-2.674440036,1.84E+11,1.79E+11,4583.747494,-11.32419926,-13.33639738,0.574162679,20.59046982,-10.25639849
Iceland,24857740445,20847341425,68941.46223,2.434823,0.206935275,3.013971792,24.0326862,4.589430895,21718075725,19491448632,59264.03409,-6.50391225,-8.00918541,2.847924015,17.12370561,3.214351922
Israel,3.98E+11,3.53E+11,43951.24773,3.77358981,1.811358909,0.844128709,24.92024928,1.884951067,4.07E+11,3.45E+11,44177.57122,-2.153428489,-3.863999473,-0.5884303,27.57502153,0.972869138
Italy,2.01E+12,1.92E+12,33673.47545,0.500233913,1.665736551,0.611246944,21.4540391,0.920178589,1.89E+12,1.75E+12,31834.97262,-9.025668928,-8.597873461,-0.137707574,21.44075427,1.375677856
Jamaica,15830768550,14934128283,5369.498371,0.892291654,0.432912117,3.905100009,22.68843246,3.182503095,13812425037,13440715454,4664.530242,-10,-10.39158965,5.226777793,26.88152671,3.555789525
Jordan,44502895915,41755867661,4405.487109,1.955466358,0.579046463,0.761514047,13.75831054,1.670625755,43697659296,41108073617,4282.765825,-1.551384466,-2.530193235,0.333294351,7.41797041,-0.262084212
Japan,5.12E+12,4.57E+12,40458.00188,-0.240350841,-0.100125011,0.468776159,29.1878145,0.636888707,5.04E+12,4.36E+12,39918.16756,-4.506904542,-4.225555341,-0.024995834,28.3208302,0.906558991
Kazakhstan,1.82E+11,2.11E+11,9812.595808,4.5,3.16101154,5.245476796,26.6826853,7.633286238,1.71E+11,2.06E+11,9121.637138,-2.5,-3.757983454,6.749001838,26.33985943,4.210858297
Kenya,1.00E+11,84264944512,1909.304537,5.114158858,2.752123824,5.235859994,14.0714169,4.275234239,1.01E+11,84054150946,1872.124026,-0.250155705,-2.471299332,5.404814672,15.08879502,4.934503501
Kyrgyz Republic,8871026074,7920624103,1374.032105,4.600625666,2.439335207,1.133622577,24.05118583,3.949387891,7780874537,7255421236,1182.5217,-8.398364296,-10.12044553,6.325422963,31.1197354,6.120895469
Cambodia,27089389787,23760061873,1643.121389,7.054106932,5.516808289,1.942575008,27.12303432,3.235371769,25872798012,23024448759,1547.511388,-3.096006731,-4.443176856,2.940295143,27.59759848,-0.671856544
"Korea, Rep.",1.65E+12,1.64E+12,31902.4169,2.24397786,1.8889146,0.383000304,34.78038233,-0.839325308,1.64E+12,1.62E+12,31597.50465,-0.852031429,-0.988631819,0.537288023,36.07036737,1.3129091
Latin America & Caribbean (excluding high income),4.78E+12,4.79E+12,8165.360565,0.681197396,-0.351334451,2.174084133,16.57471844,3.255045924,4.00E+12,4.47E+12,6765.532776,-6.542613156,-7.439485437,2.002412058,18.16812249,2.42455612
Lebanon,51605959131,46727888511,7527.44306,-6.914925218,-6.864701136,3.005389494,-6.158162256,4.094823703,25948915861,34621752540,3801.792743,-25.90773167,-25.57917409,84.86433305,-8.79553697,61.059509
Latin America & Caribbean,5.62E+12,5.59E+12,8699.460717,0.725275804,-0.201499997,2.371678594,16.86542646,3.009503659,4.74E+12,5.22E+12,7270.703584,-6.672302212,-7.521165829,1.380426473,18.30743956,2.191960734
Least developed countries: UN classification,1.14E+12,1.13E+12,1105.717065,4.868918689,2.464103993,3.094173989,29.4570994,4.079335342,1.16E+12,1.14E+12,1099.201561,0.64491806,-1.644020404,4.721120567,28.29448142,3.681473089
Low income,4.80E+11,5.36E+11,720.474279,3.823595066,1.136052394,2.86909425,23.5810485,5.895405368,4.81E+11,5.37E+11,703.7338455,0.10476527,-2.50224619,5.931276366,23.33637858,4.477237385
Sri Lanka,83902574443,92186336710,3848.212376,2.328819771,1.704605991,3.528393582,24.10626104,2.553666437,80969683537,88853624203,3694.040948,-3.615191389,-4.125280253,6.153945084,23.57003837,3.959830424
Lower middle income,7.89E+12,7.88E+12,2411.334922,3.784775134,2.362587329,3.017988072,26.92050764,3.468708619,7.59E+12,7.62E+12,2285.711107,-3.322305358,-4.623337075,3.46841178,25.89108026,3.563039775
Low & middle income,3.21E+13,3.20E+13,4993.619381,4.013005429,2.774204287,2.705597298,31.78618614,3.000011819,3.09E+13,3.16E+13,4759.776082,-1.259939619,-2.390301457,2.951922532,31.76759997,2.878032289
Lesotho,2451257579,2394844036,1153.388058,2.401781154,1.585560805,5.187083592,17.87292429,3.949570428,2250717718,2213872052,1050.631634,-7.556733624,-8.289676751,4.978096763,21.96150115,13.14702137
Late-demographic dividend,2.30E+13,2.25E+13,9974.505915,4.703873686,4.221012672,2.161762581,34.66780793,2.467044058,2.25E+13,2.25E+13,9699.089375,0.086996639,-0.270822587,1.940319966,34.79867162,0.857559033
Lithuania,54697379017,48174429493,19575.76848,4.573771737,4.850949754,2.33450938,21.04523432,2.654234194,56546957475,48110631393,20232.30204,-0.132431461,-0.159159194,1.19989445,20.80489766,1.459281574
Luxembourg,70195715496,67313525747,113218.7133,3.283806756,1.276272647,1.743320757,15.92200518,0.577087746,73353132794,66117875823,116356.158,-1.776240229,-3.399438656,0.819957302,21.32519515,4.271360594
Latvia,34308783825,30728393325,17926.84159,2.484326355,3.199320082,2.811409201,22.5867656,2.57514231,33645460617,29570216090,17703.95344,-3.7690784,-3.091924678,0.219064905,24.75114135,-0.119652959
"Macao SAR, China",55204758070,51073940150,86197.36569,-2.511980044,-3.853485682,2.751930811,47.94734523,2.403631776,25586111076,23488188942,39403.13591,-54.01140215,-54.64144697,0.811410511,40.72243098,-0.235732797
Morocco,1.20E+11,1.13E+11,3235.000732,2.607935495,1.340397041,0.303386037,27.79938561,1.357076976,1.15E+11,1.06E+11,3058.69165,-6.29325316,-7.426651489,0.705968661,26.88329614,0.857573709
Moldova,11971345003,9155470178,4492.10574,3.683403898,5.365698129,4.837783514,16.0948989,5.40013499,11859730544,8479779802,4525.759654,-7.380182154,-5.808098682,3.765971222,16.75894611,5.43003694
Madagascar,14191911512,13185664520,526.2245722,4.4,1.663182479,5.610514415,19.22479557,8.339071516,13225591804,12244127641,477.6130414,-7.14061,-9.560810894,4.201793122,16.79290662,5.056510058
Maldives,5607762625,5414217823,10561.61351,6.883688846,3.813201205,0.220029731,17.38633005,-1.08206191,3742769967,3600460153,6924.105745,-33.4999021,-34.67909528,-1.369774256,8.808495906,0.360187795
Middle East & North Africa,3.47E+12,3.44E+12,7587.355596,1.512633266,-0.206680706,1.048834037,29.48944831,1.670625755,3.11E+12,3.31E+12,6688.08728,-3.949879324,-5.569426951,0.672256809,22.74978294,0.297744748
Mexico,1.27E+12,1.25E+12,9950.217622,-0.185906788,-1.269321979,3.635961421,23.67960304,4.142301009,1.09E+12,1.15E+12,8431.665017,-8.16735801,-9.134043843,3.396834156,24.70513628,4.013473141
Middle income,3.16E+13,3.14E+13,5487.844058,4.016113601,2.945444341,2.610571828,31.88633834,2.647691032,3.04E+13,3.10E+13,5237.022473,-1.281569716,-2.242215285,2.547434646,31.86677429,2.449981748
North Macedonia,12606338449,11185489899,6070.388054,3.910419538,3.886552146,0.766439573,31.53458194,0.868168685,12116981815,10501957283,5846.465899,-6.110886711,-5.922295863,1.200073489,25.68348369,0.857544357
Mali,17280250805,16028741131,879.0431675,4.756160808,1.663955253,-1.658266948,15.07463629,1.930542072,17465392779,15830713977,862.453012,-1.235450447,-4.126625763,0.43808894,15.16221039,0.532340178
Malta,15719500921,14297018092,31185.64962,5.861136493,1.780103596,1.642060018,29.51683408,2.374298383,14917038504,13103388907,28946.46268,-8.348798176,-10.35315468,0.638544957,24.50785324,1.4762733
Montenegro,5542201151,4779775343,8909.890151,4.062944992,4.096236943,0.361563705,17.68742483,2.022142505,4780722122,4048140209,7694.633759,-15.30689376,-15.20847458,-0.2556557,5.211948353,-0.175604638
Mongolia,14206359007,14174566300,4404.84583,5.602244219,3.802940082,7.304815975,20.25862666,9.972213257,13312981595,13528524725,4060.950518,-4.557751973,-6.104430814,3.693169228,16.30696647,3.706721766
Mozambique,15390031040,18183602353,506.8171391,2.31460601,-0.616865368,2.781106312,18.88694748,5.055708413,14028811072,17959233845,448.8438914,-1.233905711,-4.04435369,3.141691294,17.03526255,2.499981967
Mauritania,7889655284,7336141342,1743.301317,5.75993059,2.899922064,2.300092621,36.01864898,4.342926975,7915985514,7206781562,1702.486959,-1.763321794,-4.382355251,2.385694885,33.24703766,3.521883435
Mauritius,14045808843,13471938134,11097.16898,3.012375907,2.979170025,0.40565519,17.82764484,0.504436483,10926820603,11465336643,8632.752859,-14.89467567,-14.89662556,2.580800772,14.28168104,1.390393692
Malaysia,3.65E+11,3.65E+11,11432.82603,4.439438251,3.06077626,0.662891866,24.5407175,0.074427787,3.37E+11,3.44E+11,10412.34767,-5.646939932,-6.860268586,-1.138702154,23.96666141,-0.777853276
North America,2.31E+13,2.16E+13,63175.74013,2.256015298,1.689438693,1.88073955,19.59606916,1.788715507,2.25E+13,2.09E+13,61000.85526,-3.54907147,-4.490371404,0.975292014,19.27450662,0.749680464
Namibia,12543203411,11236876130,5028.295342,-0.922335257,-2.758263063,3.722394144,12.00138852,1.021322406,10562637376,10352990575,4157.019506,-7.865936625,-9.548118747,2.209382369,16.41221585,4.14557344
Niger,12916455161,12212118178,554.0993893,5.941396863,1.997062626,-2.489792651,24.96291642,0.406851114,13741378450,12649312791,567.6698923,3.580006403,-0.253615444,2.89819376,15.71070901,0.899635392
Nigeria,4.48E+11,5.03E+11,2229.858652,2.208429277,-0.379752402,11.39679497,22.44440024,10.38477919,4.32E+11,4.94E+11,2097.092473,-1.794253082,-4.260113144,13.24602343,28.59591629,7.849142046
Nicaragua,12596636042,12977301361,1924.471816,-3.779889144,-4.955918716,5.376289908,23.13364495,5.504796976,12586941393,12745084493,1900.043594,-1.789407999,-2.961357916,3.681813416,22.92385452,5.492486521
Netherlands,9.10E+11,8.40E+11,52476.27325,1.955588416,1.289889121,2.633699102,31.46590243,3.032733792,9.14E+11,8.08E+11,52396.03221,-3.798635993,-4.331592046,1.272460378,28.72632014,2.291701276
Norway,4.05E+11,4.06E+11,75719.7529,0.745798219,0.067992626,2.167730033,32.76475556,-0.472598024,3.62E+11,4.04E+11,67329.67779,-0.717182669,-1.300000154,1.286584907,31.40469996,-3.604605158
Nepal,34186190996,30605291409,1194.957236,6.657055428,4.744512715,5.568685478,42.18750826,4.691155935,33433670512,29880062111,1147.471971,-2.369620627,-4.139132233,5.052366553,32.81975747,3.21740233
New Zealand,2.13E+11,2.02E+11,42865.23364,2.192477216,0.57930066,1.619631902,21.34253921,3.489566959,2.12E+11,2.00E+11,41596.5055,-1.252664529,-3.406009042,1.7145617,19.67132577,2.062531603
OECD members,5.39E+13,5.16E+13,39478.31197,1.747392248,1.226084114,1.740712679,23.15636239,2.127330238,5.23E+13,4.92E+13,38116.42222,-4.467268552,-5.00342135,0.732851645,22.68099289,1.578870403
Oman,88060858257,83053174486,17700.70349,-1.129206457,-4.021127167,0.133795057,22.02617885,-2.66567395,73971391417,80394695533,14485.38612,-3.20093599,-5.696061103,-0.903874872,9.04006399,-13.22198411
